Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
Raja Ampat,464797,557107,-
Tambrauw,485342,528817,-
Maybrat,479977,515069,-
Manokwari Selatan,702674,719773,734246
Pegunungan Arfak,706497,723662,738135
Kota Sorong,827339,889486,-
PAPUA BARAT DAYA,-,-,756237
Raja Ampat,-,-,629473
Sorong,-,-,631729
Sorong Selatan,-,-,579310
Maybrat,-,-,565725
Tambrauw,-,-,579473
Kota Sorong,-,-,902534
PAPUA,629175,686469,674371
Merauke,408710,434596,-
Jayawijaya,524173,566319,-
Jayapura,651581,706549,729234
Nabire,705953,771751,-
Kepulauan Yapen,716343,757676,782033
Biak Numfor,627921,657182,677659
Paniai,591595,654960,-
Puncak Jaya,744762,823079,-
Mimika,1002327,1056252,-
Boven Digoel,550445,585228,-
Mappi,402212,427352,-
Asmat,424978,450237,-
Yahukimo,496222,549772,-
Pegunungan Bintang,692059,766275,-
Tolikara,472692,525770,-
Sarmi,584626,633124,653436
Keerom,744805,807097,832766
Waropen,769979,810167,835594
Supiori,526482,554954,587783
Mamberamo Raya,803286,834564,861147
Nduga *,420185,475682,-
Lanny Jaya,564670,625677,-
Mamberamo Tengah,475436,526584,-
Yalimo,395868,434256,-
Puncak,754778,836828,-
Dogiyai,592213,653007,-
Intan Jaya,769993,853098,-
Deiyai,647902,709749,-
Kota Jayapura,1099019,1147265,1179015
PAPUA SELATAN,-,-,519979
Merauke,-,-,484224
Boven Digoel,-,-,622315
Mappi,-,-,480727
Asmat,-,-,487035
PAPUA TENGAH,-,-,764115
Mimika,-,-,1099143
Dogiyai,-,-,709423
Deiyai,-,-,770492
Nabire,-,-,833652
Paniai,-,-,711078
Intan Jaya,-,-,948843
Puncak,-,-,888666
Puncak Jaya,-,-,879631
PAPUA PEGUNUNGAN,-,-,1007060
Nduga,-,-,654456
Jayawijaya,-,-,722258
Lanny Jaya,-,-,816044
Tolikara,-,-,675908
Mamberamo Tengah,-,-,713489
Yalimo,-,-,600536
Yahukimo,-,-,718084
Pegunungan Bintang,-,-,917115
