Provinsi,Perkotaan_Semester1,Perkotaan_Semester2,Perdesaan_Semester1,Perdesaan_Semester2,Total_Semester1,Total_Semester2,Tahun
RIAU,419858.0,432554.0,409818.0,423953.0,413593.0,427086.0,2021
JAMBI,437220.0,448893.0,362221.0,364150.0,385360.0,391656.0,2021
SUMATERA SELATAN,350163.0,354236.0,335549.0,337702.0,340567.0,343549.0,2021
BENGKULU,449159.0,462886.0,386776.0,405341.0,405468.0,423264.0,2021
LAMPUNG,375720.0,392074.0,347870.0,361365.0,356329.0,370907.0,2021
KEP. BANGKA BELITUNG,525236.0,538158.0,566074.0,576533.0,544017.0,555279.0,2021
KEP. RIAU,426912.0,429830.0,458274.0,467527.0,429298.0,432804.0,2021
DKI JAKARTA,479332.0,490918.0,0.0,0.0,479332.0,490918.0,2021
JAWA BARAT,313015.0,321499.0,319590.0,330150.0,314572.0,323525.0,2021
JAWA TENGAH,307367.0,316590.0,302894.0,318487.0,305149.0,317519.0,2021
DI YOGYAKARTA,366206.0,370047.0,304443.0,325101.0,350057.0,358285.0,2021
JAWA TIMUR,328596.0,344429.0,316010.0,327215.0,322671.0,336315.0,2021
BANTEN,390893.0,405526.0,364081.0,369466.0,382584.0,395258.0,2021
BALI,321245.0,325747.0,291311.0,302550.0,312020.0,319095.0,2021
NUSA TENGGARA BARAT,325304.0,336346.0,311567.0,320916.0,318425.0,328699.0,2021
NUSA TENGGARA TIMUR,367201.0,385169.0,312141.0,333436.0,324545.0,344666.0,2021
KALIMANTAN BARAT,388798.0,407296.0,360819.0,377369.0,370423.0,387342.0,2021
KALIMANTAN TENGAH,371472.0,374314.0,412878.0,429419.0,396514.0,407871.0,2021
KALIMANTAN SELATAN,356053.0,362027.0,384188.0,389770.0,371204.0,376894.0,2021
KALIMANTAN TIMUR,479168.0,488748.0,498601.0,509282.0,485445.0,495785.0,2021
KALIMANTAN UTARA,546681.0,556182.0,484174.0,496468.0,522517.0,531302.0,2021
SULAWESI UTARA,319561.0,326632.0,316222.0,320933.0,317970.0,323997.0,2021
SULAWESI TENGAH,367691.0,373960.0,386603.0,391001.0,380991.0,385989.0,2021
SULAWESI SELATAN,276910.0,286095.0,281013.0,288566.0,279240.0,287467.0,2021
SULAWESI TENGGARA,281207.0,293509.0,284561.0,297786.0,283400.0,296298.0,2021
GORONTALO,292463.0,298372.0,310257.0,315316.0,303108.0,308586.0,2021
