38 Provinsi,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Tahun
GORONTALO,91971,94014,-,74253,75481,-,81718,83441,-,2020
SULAWESI BARAT,77925,78733,-,80755,82102,-,80088,81416,-,2020
MALUKU,151053,160453,-,123188,132591,-,135419,144007,-,2020
MALUKU UTARA,128282,130288,-,94698,97954,-,104375,107190,-,2020
PAPUA BARAT,176386,177136,-,126202,130993,-,147343,150672,-,2020
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,2020
PAPUA,202759,202858,-,114586,119210,-,139749,143093,-,2020
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,2020
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,2020
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,2020
INDONESIA,132303,133121,-,101788,102860,-,118859,119943,-,2020
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,,2021
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,,2021
,2021,,,2021,,,2021,,,2021
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,2021
ACEH,147729,151144,-,122118,126262,-,130689,134643,-,2021
SUMATERA UTARA,145089,147124,-,112706,114016,-,130652,132451,-,2021
SUMATERA BARAT,156831,161294,-,117976,121531,-,137059,141237,-,2021
RIAU,175412,185998,-,136989,140947,-,152344,158976,-,2021
JAMBI,146528,149285,-,108537,114856,-,120995,126067,-,2021
SUMATERA SELATAN,135276,137422,-,105866,108975,-,116888,119702,-,2021
BENGKULU,155110,161688,-,137716,142987,-,143466,149191,-,2021
LAMPUNG,140283,143059,-,103341,111553,-,115110,121713,-,2021
KEP. BANGKA BELITUNG,212698,215609,-,202340,214613,-,208186,215178,-,2021
KEP. RIAU,217689,225676,-,156472,159285,-,213127,221050,-,2021
DKI JAKARTA,218306,224134,-,-,-,-,218306,224134,-,2021
JAWA BARAT,115817,117143,-,102167,102892,-,112830,114079,-,2021
JAWA TENGAH,109458,110509,-,98245,100578,-,104044,105745,-,2021
DI YOGYAKARTA,140801,147305,-,109797,113311,-,132798,138620,-,2021
JAWA TIMUR,113113,115011,-,98419,101242,-,106462,108825,-,2021
BANTEN,158218,161474,-,121444,127748,-,147779,152225,-,2021
BALI,145944,148574,-,126411,127328,-,140201,142437,-,2021
NUSA TENGGARA BARAT,109147,116509,-,101079,109465,-,105080,113012,-,2021
NUSA TENGGARA TIMUR,141383,146024,-,73829,75333,-,90571,92941,-,2021
KALIMANTAN BARAT,124543,133177,-,106543,109174,-,113031,117885,-,2021
KALIMANTAN TENGAH,122681,125240,-,101865,107716,-,110468,115008,-,2021
KALIMANTAN SELATAN,171187,174014,-,126184,127523,-,147946,150151,-,2021
KALIMANTAN TIMUR,216656,218138,-,175035,183628,-,203590,207438,-,2021
KALIMANTAN UTARA,192586,205658,-,181789,188114,-,188477,199041,-,2021
SULAWESI UTARA,96597,96796,-,88413,90517,-,92835,93933,-,2021
SULAWESI TENGAH,138692,142414,-,105631,109351,-,115881,119619,-,2021
SULAWESI SELATAN,112894,117656,-,77317,79900,-,93251,96988,-,2021
SULAWESI TENGGARA,112976,116823,-,85263,88060,-,95189,98446,-,2021
GORONTALO,97496,102847,-,78352,83491,-,86719,91919,-,2021
SULAWESI BARAT,81929,82480,-,85163,87574,-,84504,86540,-,2021
MALUKU,165150,171643,-,139669,142688,-,150854,155467,-,2021
MALUKU UTARA,132670,134553,-,102193,104581,-,110900,112927,-,2021
PAPUA BARAT,180703,189323,-,137459,138294,-,156024,160036,-,2021
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,2021
PAPUA,206605,208134,-,122067,126343,-,146352,150066,-,2021
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,2021
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,2021
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,2021
INDONESIA,136081,138894,-,105908,109175,-,123051,126161,-,2021
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,,2022
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,,2022
,2022,,,2022,,,2022,,,2022
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,2022
ACEH,157867,164956,-,131658,140763,-,140570,149038,-,2022
SUMATERA UTARA,151633,157137,-,118883,125685,-,137244,143402,-,2022
SUMATERA BARAT,169253,178321,-,127489,138150,-,148030,158370,-,2022
RIAU,191327,200815,-,146319,154999,-,164377,173340,-,2022
JAMBI,157559,166816,-,122845,130842,-,134333,142658,-,2022
SUMATERA SELATAN,141579,148101,-,114139,124901,-,124469,133642,-,2022
BENGKULU,167708,178155,-,149208,162687,-,155362,167767,-,2022
LAMPUNG,148109,156844,-,120198,130606,-,129270,139260,-,2022
KEP. BANGKA BELITUNG,223107,231249,-,220289,231037,-,221901,231158,-,2022
KEP. RIAU,233682,247232,-,162820,172647,-,225707,239224,-,2022
DKI JAKARTA,230716,238551,-,-,-,-,230716,238551,-,2022
JAWA BARAT,121232,127531,-,107690,116273,-,118356,125178,-,2022
JAWA TENGAH,113940,119009,-,104259,111294,-,109322,115356,-,2022
DI YOGYAKARTA,151531,161094,-,117032,128078,-,142770,152979,-,2022
JAWA TIMUR,118612,125139,-,104924,111568,-,112510,119136,-,2022
BANTEN,166426,172532,-,133579,144108,-,158185,165380,-,2022
BALI,152669,163784,-,131527,141203,-,146604,157398,-,2022
NUSA TENGGARA BARAT,121061,128090,-,112906,116558,-,117038,122419,-,2022
NUSA TENGGARA TIMUR,156513,170478,-,84266,89496,-,102599,110343,-,2022
KALIMANTAN BARAT,140781,146772,-,112823,121058,-,123099,130528,-,2022
KALIMANTAN TENGAH,132451,140978,-,114225,124756,-,121903,131597,-,2022
KALIMANTAN SELATAN,180716,189362,-,133660,141833,-,156765,165254,-,2022
KALIMANTAN TIMUR,224534,230245,-,191875,201939,-,214334,221451,-,2022
KALIMANTAN UTARA,213278,217984,-,194647,202380,-,206622,212374,-,2022
SULAWESI UTARA,97296,103035,-,92570,97931,-,95112,100742,-,2022
SULAWESI TENGAH,149250,153690,-,115486,124605,-,126217,133793,-,2022
SULAWESI SELATAN,120903,127538,-,83054,88302,-,100322,106355,-,2022
SULAWESI TENGGARA,118643,126476,-,89413,94558,-,100011,106200,-,2022
GORONTALO,106015,115590,-,85647,89278,-,94588,101167,-,2022
SULAWESI BARAT,87516,94951,-,91833,98484,-,90966,97774,-,2022
MALUKU,178780,187267,-,151424,166486,-,162991,175765,-,2022
MALUKU UTARA,136264,143872,-,106751,111933,-,115255,121138,-,2022
PAPUA BARAT,190854,206365,-,141193,156596,-,161688,178241,-,2022
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,2022
PAPUA,220512,230322,-,131446,138890,-,157295,165460,-,2022
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,2022
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,2022
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,2022
INDONESIA,143536,150380,-,114113,122077,-,131014,138422,-,2022
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,,2023
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,,2023
,2023,,,2023,,,2023,,,2023
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,2023
ACEH,168651,-,-,142735,-,-,151696,-,-,2023
