Province,Urban_Semester1,Urban_Semester2,Rural_Semester1,Rural_Semester2,UrbanRural_Semester1,UrbanRural_Semester2,Year
LAMPUNG,140283.0,143059.0,103341.0,111553.0,115110.0,121713.0,2021
KEP. BANGKA BELITUNG,212698.0,215609.0,202340.0,214613.0,208186.0,215178.0,2021
KEP. RIAU,217689.0,225676.0,156472.0,159285.0,213127.0,221050.0,2021
DKI JAKARTA,218306.0,224134.0,,,218306.0,224134.0,2021
JAWA BARAT,115817.0,117143.0,102167.0,102892.0,112830.0,114079.0,2021
JAWA TENGAH,109458.0,110509.0,98245.0,100578.0,104044.0,105745.0,2021
DI YOGYAKARTA,140801.0,147305.0,109797.0,113311.0,132798.0,138620.0,2021
JAWA TIMUR,113113.0,115011.0,98419.0,101242.0,106462.0,108825.0,2021
BANTEN,158218.0,161474.0,121444.0,127748.0,147779.0,152225.0,2021
BALI,145944.0,148574.0,126411.0,127328.0,140201.0,142437.0,2021
NUSA TENGGARA BARAT,109147.0,116509.0,101079.0,109465.0,105080.0,113012.0,2021
NUSA TENGGARA TIMUR,141383.0,146024.0,73829.0,75333.0,90571.0,92941.0,2021
KALIMANTAN BARAT,124543.0,133177.0,106543.0,109174.0,113031.0,117885.0,2021
KALIMANTAN TENGAH,122681.0,125240.0,101865.0,107716.0,110468.0,115008.0,2021
KALIMANTAN SELATAN,171187.0,174014.0,126184.0,127523.0,147946.0,150151.0,2021
KALIMANTAN TIMUR,216656.0,218138.0,175035.0,183628.0,203590.0,207438.0,2021
KALIMANTAN UTARA,192586.0,205658.0,181789.0,188114.0,188477.0,199041.0,2021
SULAWESI UTARA,96597.0,96796.0,88413.0,90517.0,92835.0,93933.0,2021
SULAWESI TENGAH,138692.0,142414.0,105631.0,109351.0,115881.0,119619.0,2021
SULAWESI SELATAN,112894.0,117656.0,77317.0,79900.0,93251.0,96988.0,2021
SULAWESI TENGGARA,112976.0,116823.0,85263.0,88060.0,95189.0,98446.0,2021
GORONTALO,97496.0,102847.0,78352.0,83491.0,86719.0,91919.0,2021
SULAWESI BARAT,81929.0,82480.0,85163.0,87574.0,84504.0,86540.0,2021
MALUKU,165150.0,171643.0,139669.0,142688.0,150854.0,155467.0,2021
MALUKU UTARA,132670.0,134553.0,102193.0,104581.0,110900.0,112927.0,2021
PAPUA BARAT,180703.0,189323.0,137459.0,138294.0,156024.0,160036.0,2021
PAPUA BARAT DAYA,219553.0,232677.0,165835.0,189985.0,192662.0,210865.0,2021
PAPUA,206605.0,208134.0,122067.0,126343.0,146352.0,150066.0,2021
PAPUA SELATAN,178832.0,179426.0,101319.0,102833.0,128980.0,130009.0,2021
PAPUA TENGAH,312754.0,320179.0,134486.0,138735.0,177949.0,183311.0,2021
PAPUA PEGUNUNGAN,293852.0,312333.0,246198.0,255094.0,249412.0,258817.0,2021
INDONESIA,136081.0,138894.0,105908.0,109175.0,123051.0,126161.0,2021
ACEH,157867.0,164956.0,131658.0,140763.0,140570.0,149038.0,2022
SUMATERA UTARA,151633.0,157137.0,118883.0,125685.0,137244.0,143402.0,2022
SUMATERA BARAT,169253.0,178321.0,127489.0,138150.0,148030.0,158370.0,2022
RIAU,191327.0,200815.0,146319.0,154999.0,164377.0,173340.0,2022
JAMBI,157559.0,166816.0,122845.0,130842.0,134333.0,142658.0,2022
SUMATERA SELATAN,141579.0,148101.0,114139.0,124901.0,124469.0,133642.0,2022
BENGKULU,167708.0,178155.0,149208.0,162687.0,155362.0,167767.0,2022
LAMPUNG,148109.0,156844.0,120198.0,130606.0,129270.0,139260.0,2022
KEP. BANGKA BELITUNG,223107.0,231249.0,220289.0,231037.0,221901.0,231158.0,2022
KEP. RIAU,233682.0,247232.0,162820.0,172647.0,225707.0,239224.0,2022
DKI JAKARTA,230716.0,238551.0,,,230716.0,238551.0,2022
JAWA BARAT,121232.0,127531.0,107690.0,116273.0,118356.0,125178.0,2022
JAWA TENGAH,113940.0,119009.0,104259.0,111294.0,109322.0,115356.0,2022
DI YOGYAKARTA,151531.0,161094.0,117032.0,128078.0,142770.0,152979.0,2022
JAWA TIMUR,118612.0,125139.0,104924.0,111568.0,112510.0,119136.0,2022
BANTEN,166426.0,172532.0,133579.0,144108.0,158185.0,165380.0,2022
BALI,152669.0,163784.0,131527.0,141203.0,146604.0,157398.0,2022
NUSA TENGGARA BARAT,121061.0,128090.0,112906.0,116558.0,117038.0,122419.0,2022
NUSA TENGGARA TIMUR,156513.0,170478.0,84266.0,89496.0,102599.0,110343.0,2022
KALIMANTAN BARAT,140781.0,146772.0,112823.0,121058.0,123099.0,130528.0,2022
KALIMANTAN TENGAH,132451.0,140978.0,114225.0,124756.0,121903.0,131597.0,2022
KALIMANTAN SELATAN,180716.0,189362.0,133660.0,141833.0,156765.0,165254.0,2022
KALIMANTAN TIMUR,224534.0,230245.0,191875.0,201939.0,214334.0,221451.0,2022
KALIMANTAN UTARA,213278.0,217984.0,194647.0,202380.0,206622.0,212374.0,2022
SULAWESI UTARA,97296.0,103035.0,92570.0,97931.0,95112.0,100742.0,2022
SULAWESI TENGAH,149250.0,153690.0,115486.0,124605.0,126217.0,133793.0,2022
SULAWESI SELATAN,120903.0,127538.0,83054.0,88302.0,100322.0,106355.0,2022
SULAWESI TENGGARA,118643.0,126476.0,89413.0,94558.0,100011.0,106200.0,2022
GORONTALO,106015.0,115590.0,85647.0,89278.0,94588.0,101167.0,2022
SULAWESI BARAT,87516.0,94951.0,91833.0,98484.0,90966.0,97774.0,2022
MALUKU,178780.0,187267.0,151424.0,166486.0,162991.0,175765.0,2022
MALUKU UTARA,136264.0,143872.0,106751.0,111933.0,115255.0,121138.0,2022
PAPUA BARAT,190854.0,206365.0,141193.0,156596.0,161688.0,178241.0,2022
PAPUA BARAT DAYA,219553.0,232677.0,165835.0,189985.0,192662.0,210865.0,2022
PAPUA,220512.0,230322.0,131446.0,138890.0,157295.0,165460.0,2022
