,38 Provinsi,Perkotaan Semester 1 (Maret),Perkotaan Semester 2 (September),Unnamed: 4,Perdesaan Semester 2 (September),Perkotaan+Perdesaan Semester 1 (Maret),Perkotaan+Perdesaan Semester 2 (September),Tahun
324,JAWA TENGAH,365201,-,355699,-,360571,-,2023
325,DI YOGYAKARTA,431962,-,366712,-,414480,-,2023
326,JAWA TIMUR,394182,-,372797,-,384426,-,2023
327,BANTEN,458419,-,414831,-,448240,-,2023
328,BALI,375253,-,340646,-,365437,-,2023
329,NUSA TENGGARA BARAT,381359,-,366994,-,374441,-,2023
330,NUSA TENGGARA TIMUR,437018,-,374760,-,389518,-,2023
331,KALIMANTAN BARAT,448664,-,413140,-,425767,-,2023
332,KALIMANTAN TENGAH,426611,-,485390,-,461296,-,2023
333,KALIMANTAN SELATAN,422758,-,445076,-,434362,-,2023
334,KALIMANTAN TIMUR,557982,-,565218,-,560368,-,2023
335,KALIMANTAN UTARA,626759,-,556835,-,599246,-,2023
336,SULAWESI UTARA,365228,-,355952,-,360891,-,2023
337,SULAWESI TENGAH,423694,-,431550,-,429099,-,2023
338,SULAWESI SELATAN,329012,-,322682,-,325418,-,2023
339,SULAWESI TENGGARA,334125,-,333604,-,333797,-,2023
340,GORONTALO,327347,-,348718,-,339799,-,2023
341,SULAWESI BARAT,341470,-,332697,-,334380,-,2023
342,MALUKU,501268,-,502863,-,502215,-,2023
343,MALUKU UTARA,443638,-,429876,-,433630,-,2023
344,PAPUA BARAT,552868,-,540384,-,545539,-,2023
345,PAPUA BARAT DAYA,-,-,-,-,-,-,2023
346,PAPUA,505321,-,520279,-,516528,-,2023
347,PAPUA SELATAN,-,-,-,-,-,-,2023
348,PAPUA TENGAH,-,-,-,-,-,-,2023
349,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2023
350,INDONESIA,415588,-,399460,-,408522,-,2023
351,ACEH,519288,528266,492730,494778,501403,506089,2024
352,SUMATERA UTARA,502288,508995,476787,479327,490540,495730,2024
353,SUMATERA BARAT,532696,540096,542700,545435,537985,542853,2024
354,RIAU,529025,533936,501450,505622,511959,516772,2024
355,JAMBI,561284,569981,459892,464125,491690,497637,2024
356,SUMATERA SELATAN,433537,447563,402078,409879,413237,423507,2024
357,BENGKULU,546830,551184,468390,469716,492988,493660,2024
358,LAMPUNG,474260,486443,421189,430504,438079,448211,2024
359,KEP. BANGKA BELITUNG,643357,650379,690751,698232,663408,670142,2024
360,KEP. RIAU,532365,551982,566093,573728,535976,554329,2024
361,DKI JAKARTA,571647,590704,-,-,571647,590704,2024
362,JAWA BARAT,390563,400707,394120,397882,391347,400115,2024
363,JAWA TENGAH,390855,401435,375173,383485,383285,392697,2024
364,DI YOGYAKARTA,455545,466983,385903,393777,437891,447321,2024
365,JAWA TIMUR,418117,429487,395752,401319,408011,416738,2024
366,BANTEN,484924,497232,433803,443116,474039,486415,2024
367,BALI,402771,412279,362933,364979,391618,399291,2024
368,NUSA TENGGARA BARAT,412395,418758,396014,398686,404637,409165,2024
369,NUSA TENGGARA TIMUR,457430,463318,386382,388705,403922,407240,2024
370,KALIMANTAN BARAT,478633,489985,434904,442846,450558,460485,2024
371,KALIMANTAN TENGAH,449020,463836,507437,519791,482856,495595,2024
372,KALIMANTAN SELATAN,444222,457434,469392,471998,457237,464917,2024
373,KALIMANTAN TIMUR,586627,603217,599051,606186,590571,604133,2024
374,KALIMANTAN UTARA,652541,668066,583745,600153,627311,644805,2024
375,SULAWESI UTARA,385528,405049,378261,388386,382149,397806,2024
376,SULAWESI TENGAH,449217,454860,455158,457160,453429,456444,2024
377,SULAWESI SELATAN,350672,356264,336710,345590,342934,350315,2024
378,SULAWESI TENGGARA,350388,354813,343993,352533,346345,353412,2024
379,GORONTALO,353297,372700,374832,385233,365613,379715,2024
380,SULAWESI BARAT,360512,367828,350870,354319,352739,356950,2024
381,MALUKU,521836,548623,525301,533738,523830,540629,2024
382,MALUKU UTARA,475521,497282,459804,484025,464529,487852,2024
383,PAPUA BARAT,662195,679970,557986,573162,591923,609768,2024
384,PAPUA BARAT DAYA,545700,578031,581816,582827,563575,580705,2024
385,PAPUA,507129,533022,404318,413604,462491,484209,2024
386,PAPUA SELATAN,467204,502110,340771,351258,390999,418637,2024
387,PAPUA TENGAH,607350,638860,579784,606795,586166,615022,2024
388,PAPUA PEGUNUNGAN,990068,1065131,746176,803603,757648,820343,2024
389,INDONESIA,441394,453120,424160,430508,433906,443433,2024
